DATE,LBSNSA32
2018-01-01,62.6
2018-02-01,63.4
2018-03-01,63.2
2018-04-01,63.1
2018-05-01,63.3
2018-06-01,63.4
2018-07-01,63.6
2018-08-01,63.0
2018-09-01,63.5
2018-10-01,63.6
2018-11-01,63.6
2018-12-01,63.4
2019-01-01,63.6
2019-02-01,64.1
2019-03-01,63.9
2019-04-01,63.6
2019-05-01,63.8
2019-06-01,63.9
2019-07-01,64.2
2019-08-01,63.9
2019-09-01,64.3
2019-10-01,64.4
2019-11-01,64.2
2019-12-01,63.9
2020-01-01,63.9
2020-02-01,64.2
2020-03-01,62.5
2020-04-01,57.2
2020-05-01,55.4
2020-06-01,61.6
2020-07-01,62.2
2020-08-01,61.8
2020-09-01,61.7
2020-10-01,61.7
2020-11-01,61.5
2020-12-01,61.3
2021-01-01,61.2
2021-02-01,61.5
2021-03-01,61.2
2021-04-01,61.0
2021-05-01,60.7
2021-06-01,60.6
2021-07-01,60.6
2021-08-01,60.2
2021-09-01,59.9
2021-10-01,59.8
2021-11-01,59.7
2021-12-01,59.2
2022-01-01,60.0
