DATE,LBSSA04
2018-01-01,60.7
2018-02-01,60.8
2018-03-01,60.9
2018-04-01,61.1
2018-05-01,61.2
2018-06-01,61.2
2018-07-01,61.3
2018-08-01,61.4
2018-09-01,61.4
2018-10-01,61.5
2018-11-01,61.6
2018-12-01,61.7
2019-01-01,61.7
2019-02-01,61.8
2019-03-01,61.8
2019-04-01,61.9
2019-05-01,61.9
2019-06-01,62.0
2019-07-01,62.1
2019-08-01,62.1
2019-09-01,62.1
2019-10-01,62.1
2019-11-01,62.2
2019-12-01,62.2
2020-01-01,62.2
2020-02-01,62.0
2020-03-01,61.8
2020-04-01,60.3
2020-05-01,60.9
2020-06-01,60.7
2020-07-01,60.9
2020-08-01,60.8
2020-09-01,61.1
2020-10-01,61.0
2020-11-01,61.0
2020-12-01,61.1
2021-01-01,61.1
2021-02-01,61.1
2021-03-01,61.2
2021-04-01,61.3
2021-05-01,61.3
2021-06-01,61.3
2021-07-01,61.2
2021-08-01,61.1
2021-09-01,61.0
2021-10-01,60.9
2021-11-01,60.8
2021-12-01,60.7
2022-01-01,60.7
